#This is the fibers geometry file for AESOP
#This file was first written at: Tue Apr  5 16:30:01 CEST 2016
#Original filename: /home/tdwelly/4most/OpSim/inputs_to_system_model/AESOP/info_2016-04-05/aesop-cfg.json
#This file contains one entry per Fiber/Positioner, and gives the coordinates and details of each fiber
#Other info:
#Pitch is 9.542mm between fibres
#Fibe size is 0.085, so 1.43 asec
#Plate scale is 0.0594 mm/asec
#FoV is 535mm = 2.502 degrees diameter
#Rad curve 4,653 mm
#Patrol requirement is 11.5mm, but in practice they expect 12.3mm +/- 0.5 (so 11.8-12.8mm)
#Description of columns:
#Index  Name        Format    Description
#-----  ----------- --------- --------------------------------------------------------------------------------
#1      id          integer   Fiber identification number
#2      x0_mm       float     offset of the fiber base position from the FoV centre in the x-direction (mm)
#3      y0_mm       float     offset of the fiber base position from the FoV centre in the x-direction (mm)
#4      res         integer   code giving the resolution code of the fiber (1=low res, 2=high res)
#5      sector      integer   ID of the sky fiber allocation sector that this fiber lies within
#6      EdgeFlag    integer   Flag set if the fiber is at edge of field (0=middle;1=border;2=edge;3=corner)
#7      Spectro     string    HR, LR-A, LR-B
#8      Slitlet     integer   Slitlet within spectrograph
#9      Slitpos     integer   Slitpos within slitlet
#-----  ----------- --------- --------------------------------------------------------------------------------
id            x0_mm     y0_mm       res      sector  EdgeFlag  Spectro  Slitlet  Slitpos
1           -228.8655  -135.9499    2       -1       -1      HR         1       10
2           -228.8791  -126.4121    1       -1       -1    LR-A         1       10
3           -228.8918  -116.8737    1       -1       -1    LR-B         1       10
4           -228.9034  -107.3348    2       -1       -1      HR         1        9
5           -228.9140   -97.7955    1       -1       -1    LR-A         1        9
6           -228.9237   -88.2557    1       -1       -1    LR-B         1        9
7           -228.9324   -78.7155    2       -1       -1      HR         1        8
8           -228.9400   -69.1750    1       -1       -1    LR-A         1        8
9           -228.9467   -59.6342    1       -1       -1    LR-B         1        8
10          -228.9524   -50.0932    2       -1       -1      HR         1        7
11          -228.9571   -40.5519    1       -1       -1    LR-A         1        7
12          -228.9609   -31.0104    1       -1       -1    LR-B         1        7
13          -228.9636   -21.4688    2       -1       -1      HR         1        6
14          -228.9653   -11.9272    1       -1       -1    LR-A         1        6
15          -228.9660    -2.3854    1       -1       -1    LR-B         1        6
16          -228.9658     7.1563    2       -1       -1      HR         1        5
17          -228.9646    16.6980    1       -1       -1    LR-A         1        5
18          -228.9623    26.2397    1       -1       -1    LR-B         1        5
19          -228.9591    35.7812    2       -1       -1      HR         1        4
20          -228.9549    45.3225    1       -1       -1    LR-A         1        4
21          -228.9497    54.8637    1       -1       -1    LR-B         1        4
22          -228.9435    64.4047    2       -1       -1      HR         1        3
23          -228.9363    73.9453    1       -1       -1    LR-A         1        3
24          -228.9282    83.4856    1       -1       -1    LR-B         1        3
25          -228.9190    93.0256    2       -1       -1      HR         1        2
26          -228.9088   102.5652    1       -1       -1    LR-A         1        2
27          -228.8977   112.1043    1       -1       -1    LR-B         1        2
28          -228.8856   121.6430    2       -1       -1      HR         1        1
29          -228.8724   131.1811    1       -1       -1    LR-A         1        1
30          -228.8583   140.7186    1       -1       -1    LR-B         1        1
31          -220.5427  -140.7186    1       -1       -1    LR-A         2       11
32          -220.5563  -131.1811    1       -1       -1    LR-B         2       10
33          -220.5690  -121.6430    2       -1       -1      HR         2       10
34          -220.5807  -112.1043    1       -1       -1    LR-A         2       10
35          -220.5914  -102.5652    1       -1       -1    LR-B         2        9
36          -220.6012   -93.0256    2       -1       -1      HR         2        9
